-500000000000000192,-500000000000000128,-1114,-1487,-1702,-500000000000000192,-500000000000000064
-500000000000000128,-1126,-1218,-1308,-1562,-500000000000000064,-500000000000000064
-500000000000000064,-1045,-1124,-1439,-1573,-500000000000000064,-500000000000000064
-1111,-1133,-1147,-1323,-1668,-500000000000000064,-500000000000000064
-917,-1087,0,-1296,-1553,-500000000000000064,-500000000000000064
-1008,-1053,-1258,-1366,-1582,-500000000000000000,-500000000000000128
-890,-1020,-1141,-1333,-1562,-500000000000000064,-500000000000000128
-877,-1014,0,-1329,-1585,-500000000000000064,-500000000000000000
-1042,-1082,-1237,-1290,-1602,0,-500000000000000128
-855,-1148,-1279,-1473,-1626,-500000000000000064,-500000000000000192
-908,-1077,-1193,-1580,-1709,-500000000000000192,-500000000000000000
0,-1058,-1265,-1369,-1638,-500000000000000064,-500000000000000000
-1163,-1155,-1173,-1346,-1606,-500000000000000000,-500000000000000192
-874,-1109,-1120,-1351,-1610,-500000000000000000,-500000000000000128
-845,-1044,-1130,-1276,-1600,-500000000000000064,-500000000000000000
-998,-1045,-1127,-1396,-1552,-500000000000000064,-500000000000000128
-941,-1161,-1128,0,-1555,-500000000000000064,-500000000000000064
-890,-1067,-1187,-1441,-1560,-500000000000000064,-500000000000000064
-847,-1089,-1113,-1279,-1630,-500000000000000000,-500000000000000192
-870,-1063,-1207,0,-1674,-500000000000000064,-500000000000000064
-853,-1010,-1106,-1363,-1639,-500000000000000064,-500000000000000064
-900,-1014,-1118,-1385,-1651,-500000000000000064,-500000000000000000
-910,-1069,-1100,-1374,-1620,-500000000000000128,-500000000000000064
-869,-1072,-1119,-1444,-1607,-500000000000000064,-500000000000000064
-904,-1016,-1161,-1382,-1560,-500000000000000000,-500000000000000064
-901,-1002,-1250,-1362,-1648,-500000000000000000,-500000000000000064
-865,-1052,-1139,-1415,-500000000000000064,-500000000000000064,-500000000000000128
-903,-1025,-1173,-1372,-500000000000000128,-500000000000000064,-500000000000000128
-861,-1063,-1141,-500000000000000064,-500000000000000000,-500000000000000064,-500000000000000064
-879,-973,-1169,-500000000000000064,-500000000000000064,-500000000000000064,-500000000000000000
-866,-975,-1154,-500000000000000000,-500000000000000064,-500000000000000064,-500000000000000064
-500000000000000256,-500000000000000128,-1285,-1306,-1338,-500000000000000000,-500000000000000064
-500000000000000192,-767,-1248,-1180,-1341,-500000000000000128,-500000000000000192
-500000000000000192,-803,-1185,-1280,-1406,-500000000000000000,-500000000000000000
-641,-1110,-1064,-1107,-1572,-500000000000000000,-500000000000000064
-1011,-764,-1088,-1049,-1339,-500000000000000064,-500000000000000128
-980,-836,-1054,-1183,-1346,-500000000000000128,-500000000000000064
-759,-817,-1104,-1147,-1532,-500000000000000000,-500000000000000128
-641,-1055,-1043,-1140,-1355,-500000000000000064,-500000000000000192
-627,-850,-851,-1097,-1333,-500000000000000064,-500000000000000064
-647,-877,-857,-1137,-1355,-500000000000000128,-500000000000000128
-593,-878,-872,-1141,-1339,-500000000000000000,-500000000000000192
-658,-880,-860,-1122,-1340,-500000000000000000,-500000000000000064
-629,-909,-930,-1084,-1347,-500000000000000000,-500000000000000064
-638,-846,-814,-1121,-1413,-500000000000000064,-500000000000000000
-556,-847,-873,-1167,-1450,-500000000000000064,-500000000000000128
-640,-798,-830,-1092,-1297,-500000000000000128,-500000000000000064
-628,-820,-942,-1141,-1430,-500000000000000064,-500000000000000064
-690,-838,-825,-1262,-1420,-500000000000000000,-500000000000000064
-639,-771,-865,-1242,-1429,-500000000000000128,-500000000000000064
-684,-881,-1026,-1118,-1417,-500000000000000064,-500000000000000000
-577,-784,-876,-1161,-1411,-500000000000000064,-500000000000000064
-600,-783,-904,-1222,-1346,-500000000000000064,-500000000000000000
-729,-760,-872,-1133,-1429,-500000000000000000,-500000000000000000
-638,-751,-839,-1093,-1476,-500000000000000064,-500000000000000000
-593,-806,-864,-1097,-1285,-500000000000000064,-500000000000000128
-589,-805,-938,-1093,-500000000000000064,-500000000000000000,-500000000000000064
-653,-815,-814,-1169,-500000000000000064,-500000000000000000,-500000000000000000
-620,-888,-851,-1171,-500000000000000000,-500000000000000064,-500000000000000064
-636,-825,-910,-500000000000000000,-500000000000000064,-500000000000000064,-500000000000000064
-625,-954,-812,-500000000000000128,-500000000000000064,-500000000000000000,-500000000000000064
-634,-828,-825,-500000000000000064,-500000000000000064,-500000000000000064,-500000000000000064
-500000000000000256,-500000000000000192,-865,-1101,-1235,-500000000000000000,-500000000000000128
-500000000000000064,-781,-1095,-972,-1120,-500000000000000064,-500000000000000128
-500000000000000064,-663,-1030,-1086,-1068,-500000000000000128,-500000000000000064
-548,-908,-899,-1003,-1251,-500000000000000256,-500000000000000064
-424,-905,-992,-905,-1127,-500000000000000064,-500000000000000064
-530,-874,-970,-855,-1115,-500000000000000064,-500000000000000128
-536,-795,-723,-1041,-1129,-500000000000000064,-500000000000000192
-397,-679,-778,-940,-1422,-500000000000000064,-500000000000000128
-799,-510,-826,-897,-1208,-500000000000000256,-500000000000000064
-302,-697,-712,-874,-1308,-500000000000000128,-500000000000000128
-343,-641,-816,-812,-1202,-500000000000000128,-500000000000000064
-311,-637,-696,-834,-1260,-500000000000000192,-500000000000000064
-321,-855,-795,-950,-1142,-500000000000000064,-500000000000000064
-512,-644,-779,-1064,-1279,-500000000000000064,-500000000000000192
-317,-806,-806,-797,-1300,-500000000000000064,-500000000000000128
-775,-608,-938,-1019,-1059,-500000000000000064,-500000000000000064
-446,-825,-787,-973,-1253,-500000000000000128,-500000000000000064
-408,-829,-835,-985,-1207,-500000000000000192,-500000000000000128
-501,-769,-775,-911,-1183,-500000000000000064,-500000000000000128
-431,-691,-895,-1092,-1227,-500000000000000064,-500000000000000064
-460,-787,-886,-1008,-1027,-500000000000000064,-500000000000000064
-408,-818,-599,-985,-1445,-500000000000000064,-500000000000000128
-285,-595,-619,-839,-1058,-500000000000000320,-500000000000000064
-447,-690,-782,-857,-1281,-500000000000000000,-500000000000000128
-349,-805,-919,-906,-1059,-500000000000000128,-500000000000000064
-436,-725,-905,-898,-500000000000000128,-500000000000000064,-500000000000000064
-618,-830,-736,-1057,-500000000000000256,-500000000000000192,-500000000000000064
-476,-678,-911,-973,-500000000000000064,-500000000000000000,-500000000000000128
-342,-691,-791,-500000000000000320,-500000000000000192,-500000000000000192,-500000000000000128
-491,-704,-761,-500000000000000320,-500000000000000000,-500000000000000064,-500000000000000192
-304,-732,-801,-500000000000000000,-500000000000000128,-500000000000000000,-500000000000000064
-500000000000000192,-500000000000000192,-426,-957,-939,-500000000000000064,-500000000000000064
-500000000000000128,-246,-825,-910,-902,-500000000000000128,-500000000000000064
-500000000000000128,-309,-814,-820,-960,-500000000000000128,-500000000000000064
-660,-243,-778,-775,-955,-500000000000000064,-500000000000000064
-467,-657,-671,-691,-915,-500000000000000128,-500000000000000128
-591,-665,-452,-606,-844,-500000000000000192,-500000000000000192
-146,-705,-661,-691,-1061,-500000000000000128,-500000000000000192
-561,-234,-511,-653,-873,-500000000000000064,-500000000000000064
-172,-512,-536,-583,-977,-500000000000000064,-500000000000000000
-84,-544,-614,-676,-816,-500000000000000064,-500000000000000128
-52,-518,-551,-796,-1160,-500000000000000320,-500000000000000064
-81,-635,-651,-670,-1032,-500000000000000064,-500000000000000064
-318,-474,-669,-688,-883,-500000000000000064,-500000000000000064
-191,-598,-490,-797,-864,-500000000000000064,-500000000000000064
-148,-571,-484,-704,-821,-500000000000000064,-500000000000000128
-140,-470,-365,-589,-927,-500000000000000000,-500000000000000192
-79,-318,-435,-684,-919,-500000000000000064,-500000000000000000
-122,-439,-700,-656,-854,-500000000000000064,-500000000000000128
-29,-466,-488,-604,-848,-500000000000000064,-500000000000000064
-82,-484,-430,-664,-890,-500000000000000064,-500000000000000064
-95,-460,-508,-582,-980,-500000000000000128,-500000000000000064
-249,-331,-402,-538,-831,-500000000000000064,-500000000000000064
-50,-528,-449,-587,-818,-500000000000000000,-500000000000000064
-87,-583,-521,-594,-944,-500000000000000128,-500000000000000064
-67,-440,-434,-573,-946,-500000000000000064,-500000000000000064
-40,-339,-485,-674,-500000000000000000,-500000000000000064,-500000000000000064
-27,-458,-379,-772,-500000000000000064,-500000000000000064,-500000000000000256
-125,-387,-567,-792,-500000000000000064,-500000000000000128,-500000000000000000
-226,-367,-386,-500000000000000128,-500000000000000064,-500000000000000064,-500000000000000064
-210,-359,-371,-500000000000000000,-500000000000000064,-500000000000000000,-500000000000000064
-136,-489,-388,-500000000000000064,-500000000000000064,-500000000000000064,-500000000000000064
-500000000000000192,-500000000000000192,-119,-497,-745,-500000000000000064,-500000000000000128
-500000000000000320,-166,-712,-540,-740,-500000000000000064,-500000000000000064
-500000000000000256,-105,-601,-596,-718,-500000000000000000,-500000000000000192
-529,-62,-459,-526,-735,-500000000000000064,-500000000000000064
-565,-43,-508,-505,-613,-500000000000000064,-500000000000000192
-563,-85,-482,-475,-789,-500000000000000128,-500000000000000256
-527,-224,-446,-1097,-931,-500000000000000128,-500000000000000064
-439,-419,-210,-491,-604,-500000000000000000,-500000000000000064
-940,-84,-848,-611,-605,-500000000000000064,-500000000000000064
-181,-370,-448,-543,-716,-500000000000000000,-500000000000000128
-499,-83,-327,-554,-627,-500000000000000064,-500000000000000128
-244,-744,-496,-463,-717,-500000000000000000,-500000000000000064
-394,-93,-414,-404,-791,-500000000000000000,-500000000000000000
-348,-306,-301,-422,-645,-500000000000000000,-500000000000000000
-347,-124,-529,-449,-650,-500000000000000064,-500000000000000000
-475,-530,-432,-445,-628,-500000000000000000,-500000000000000064
-216,-134,-403,-445,-642,-500000000000000000,-500000000000000064
-236,-422,-580,-507,-668,-500000000000000064,-500000000000000064
-237,-483,-411,-450,-679,-500000000000000064,-500000000000000064
-274,-435,-350,-360,-681,-500000000000000000,-500000000000000000
-280,-190,-299,-409,-643,-500000000000000064,-500000000000000064
-265,-84,-306,-461,-687,-500000000000000064,-500000000000000064
-195,-53,-254,-484,-714,-500000000000000064,-500000000000000064
-437,-27,-313,-427,-668,-500000000000000064,-500000000000000064
-368,-45,-241,-555,-712,-500000000000000064,-500000000000000064
-340,-109,-188,-439,-618,-500000000000000064,-500000000000000064
-326,-124,-342,-540,-500000000000000064,-500000000000000128,-500000000000000128
-239,-81,-396,-497,-500000000000000064,-500000000000000192,-500000000000000064
-553,-621,-174,-500000000000000128,-500000000000000064,-500000000000000064,-500000000000000128
-149,-477,-409,-500000000000000128,-500000000000000064,-500000000000000128,-500000000000000064
-383,-204,-229,-500000000000000064,-500000000000000064,-500000000000000064,-500000000000000128
-500000000000000512,-500000000000000128,-706,-138,-857,-500000000000000064,-500000000000000192
-500000000000000384,-884,-848,-420,-839,-500000000000000064,-500000000000000064
-809,-619,-780,-329,-653,-500000000000000128,-500000000000000064
-813,-204,-811,-624,-577,-500000000000000128,-500000000000000256
-354,-683,-856,-758,-799,-500000000000000000,-500000000000000256
-685,-800,-810,-300,-592,-500000000000000064,-500000000000000064
-500,-966,-430,-17,-793,-500000000000000064,-500000000000000064
-678,-742,-538,-212,-771,-500000000000000064,-500000000000000384
-661,-682,-557,-643,-734,-500000000000000064,-500000000000000064
-724,-832,-769,-222,-824,-500000000000000064,-500000000000000256
-767,-455,-740,-708,-816,-500000000000000064,-500000000000000064
-684,-783,-642,-124,-768,-500000000000000128,-500000000000000064
-942,-1028,-728,-518,-943,-500000000000000128,-500000000000000512
-683,-998,-758,-214,-664,-500000000000000064,-500000000000000064
-836,-1013,-796,-445,-777,-500000000000000128,-500000000000000128
-796,-686,-747,-724,-737,-500000000000000128,-500000000000000128
-815,-646,-696,-236,-775,-500000000000000192,-500000000000000256
-550,-638,-782,-177,-777,-500000000000000064,-500000000000000128
-826,-651,-588,-174,-633,-500000000000000064,-500000000000000320
-830,-231,-714,-738,-988,-500000000000000128,-500000000000000064
-592,-800,-603,-201,-751,-500000000000000384,-500000000000000192
-911,-326,-792,-332,-525,-500000000000000064,-500000000000000256
-781,-871,-630,-249,-631,-500000000000000512,-500000000000000192
-869,-699,-688,-75,-728,-500000000000000128,-500000000000000256
-923,-750,-1069,-320,-568,-500000000000000064,-500000000000000128
-652,-748,-608,-64,-500000000000000064,-500000000000000064,-500000000000000192
-543,-1016,-1023,-38,-500000000000000064,-500000000000000064,-500000000000000000
-537,-781,-760,-147,-500000000000000000,-500000000000000000,-500000000000000256
-832,-822,-457,-500000000000000320,-500000000000000064,-500000000000000064,-500000000000000128
-821,-265,-818,-500000000000000064,-500000000000000064,-500000000000000064,-500000000000000128
-1010,-236,-1029,-500000000000000064,-500000000000000192,-500000000000000064,-500000000000000064
-500000000000000064,-500000000000000128,-1122,-409,-1126,-500000000000000128,-500000000000000320
-500000000000000192,-1229,-1232,-826,-898,-500000000000000384,-500000000000000832
-500000000000000064,-1198,-1068,-1055,-424,-500000000000000192,-500000000000000064
-1272,-1218,-1047,-287,-1023,-500000000000000128,-500000000000000832
-1370,-1010,-1221,-682,-978,-500000000000000192,-500000000000000128
-1273,-1131,-1120,-1107,-31,-500000000000000192,-500000000000000320
-1360,-452,-1059,-1013,-1026,-500000000000000192,-500000000000000320
-1000,-1300,-1212,-1199,-393,-500000000000000576,-500000000000000320
-1386,-1033,-1102,-1066,-76,-500000000000000256,-500000000000000128
-1298,-1043,-1057,-767,-977,-500000000000000064,-500000000000000256
-1211,-1030,-1157,-972,-374,-500000000000000256,-500000000000000512
-1021,-1219,-1071,-1035,-522,-500000000000000256,-500000000000000064
-968,-1217,-1092,-247,-1058,-500000000000000128,-500000000000000192
-949,-1169,-1092,-493,-1071,-500000000000000256,-500000000000000064
-1074,-1195,-743,-319,-1057,-500000000000000192,-500000000000000256
-1374,-805,-781,-1016,-926,-500000000000000128,-500000000000000256
-940,-911,-1185,-905,-306,-500000000000000320,-500000000000000320
-1167,-1112,-1068,-438,-1098,-500000000000000384,-500000000000000384
-1147,-1258,-1123,-1100,-365,-500000000000000192,-500000000000000000
-1008,-1013,-476,-914,-1012,-500000000000000000,-500000000000000384
-1187,-1300,-1133,-929,-47,-500000000000000192,-500000000000000128
-1345,-1135,-1062,-972,-299,-500000000000000064,-500000000000000064
-1241,-896,-912,-179,-1053,-500000000000000064,-500000000000000256
-929,-1044,-1029,-532,-667,-500000000000000064,-500000000000000256
-1252,-866,-899,-869,-66,-500000000000000512,-500000000000000256
-1068,-970,-894,-231,-500000000000000256,-500000000000000128,-500000000000000192
-906,-377,-1031,-736,-500000000000000256,-500000000000000064,-500000000000000064
